Component,Explained Variance
PC1,0.34146540383944657
PC2,0.15435140789958043
PC3,0.12357976314359585
PC4,0.1068654426712333
PC5,0.10041501983534959
PC6,0.07918289282724025
PC7,0.04171980212586668
PC8,0.03926133261277395
