,PC1,PC2,PC3,PC4,PC5,PC6,PC7,PC8
acousticness,0.4430900720956214,0.18127431742781483,-0.09218024752552316,-0.15694772340387453,0.22568242831097116,-0.3909689247441522,-0.45090703329058407,-0.41404193106604537
danceability,-0.3035175199372341,0.5810016499009558,-0.207225314202436,0.04864785485733328,0.1226938910118702,0.06268595513899047,0.5268838524090778,-0.4477064693395061
energy,-0.4929359732135643,-0.26532145759590064,0.058512630502951246,0.06698717578682697,0.095229465792754,0.26458660435854603,-0.2096828183861144,0.06389354933585223
instrumentalness,0.3134711110357795,-0.14400075636876175,-0.15788830530094083,-0.23983562868345468,0.4086754039630907,0.7605234693419838,-0.01491607807880236,-0.19626389113870202
liveness,-0.043234631603988424,-0.07605771619015934,0.7720842286908979,-0.08297387187181599,0.5478468093766515,-0.1739744546540289,0.23167962611244222,-0.05502735348891165
loudness,-0.4756209589428447,-0.22271249484838324,-0.03819012196353481,0.1578280804957852,0.06238995576387406,-0.06380003175818419,-0.40123953929409306,-0.566254401861578
speechiness,-0.02239316657559913,0.5422936981746991,0.5090230932093829,-0.10419922161427327,-0.38933714958262833,0.36941879000593275,-0.3796522401931354,-0.043572405350598066
tempo,-0.19414228798358588,-0.19711731459361714,-0.008513151822098455,-0.890219216090219,-0.2773300339054627,-0.12104942157888483,0.14379492138984556,-0.13597208746889217
valence,-0.32252299160061615,0.3874554020937293,-0.2519097089384502,-0.275409315279183,0.47476880355066997,-0.09670052992728737,-0.3088777423809323,0.49139319865126857
