Component,Explained Variance
PC1,0.3424589341227939
PC2,0.15334229924757073
PC3,0.12596517682431316
PC4,0.10349088094850455
PC5,0.09603832110812727
PC6,0.08196673268462164
PC7,0.04332255186837701
PC8,0.039759911294604613
