Number of Clusters,Silhouette Score
2,0.2443911113316324
3,0.18737291109561
4,0.16559579557644966
5,0.19302778184783898
6,0.17969483539760234
7,0.1886864797786862
8,0.1826252345774681
9,0.18014146784513518
10,0.1844759116752206
